City,Population
DES MOINES,"214,778"
CEDAR RAPIDS,"130,330"
DAVENPORT,"102,268"
SIOUX CITY,"82,568"
IOWA CITY,"73,415"
WATERLOO,"68,146"
AMES,"65,005"
WEST DES MOINES,"62,999"
COUNCIL BLUFFS,"62,317"
DUBUQUE,"58,410"
ANKENY,"56,237"
URBANDALE,"42,222"
CEDAR FALLS,"41,167"
MARION,"38,014"
BETTENDORF,"35,293"
MASON CITY,"27,453"
MARSHALLTOWN,"27,440"
CLINTON,"25,892"
BURLINGTON,"25,330"
OTTUMWA,"24,705"
FORT DODGE,"24,566"
MUSCATINE,"23,852"
CORALVILLE,"20,250"
JOHNSTON,"20,172"
WAUKEE,"17,980"
NORTH LIBERTY,"17,721"
ALTOONA,"17,354"
CLIVE,"17,134"
INDIANOLA,"15,489"
NEWTON,"15,085"
BOONE,"12,538"
OSKALOOSA,"11,531"
GRIMES,"11,139"
SPENCER,"11,132"
STORM LAKE,"10,738"
FORT MADISON,"10,634"
KEOKUK,"10,484"
PELLA,"10,243"
NORWALK,"10,179"
FAIRFIELD,"10,125"
WAVERLY,"10,052"
CARROLL,"9,937"
LE MARS,"9,861"
PLEASANT HILL,"9,608"
GRINNELL,"9,028"
MOUNT PLEASANT,"8,467"
DENISON,"8,361"
CRESTON,"7,860"
DECORAH,"7,850"
WEBSTER CITY,"7,830"
PERRY,"7,747"
CLEAR LAKE,"7,612"
SIOUX CENTER,"7,450"
CHARLES CITY,"7,427"
WASHINGTON,"7,358"
HIAWATHA,"7,262"
KNOXVILLE,"7,202"
NEVADA,"6,790"
ATLANTIC,"6,787"
ELDRIDGE,"6,231"
ORANGE CITY,"6,123"
OELWEIN,"6,093"
INDEPENDENCE,"6,013"
MAQUOKETA,"5,954"
ESTHERVILLE,"5,930"
CENTERVILLE,"5,503"
ALGONA,"5,488"
RED OAK,"5,475"
BONDURANT,"5,457"
ANAMOSA,"5,420"
CLARINDA,"5,377"
ASBURY,"5,338"
GLENWOOD,"5,271"
DEWITT,"5,227"
WINTERSET,"5,157"
VINTON,"5,141"
IOWA FALLS,"5,132"
SHELDON,"5,060"
MANCHESTER,"5,047"
CHEROKEE,"5,018"
OSCEOLA,"4,998"
WINDSOR HEIGHTS,"4,990"
SHENANDOAH,"4,977"
SPIRIT LAKE,"4,967"
HARLAN,"4,944"
EVANSDALE,"4,780"
HUMBOLDT,"4,589"
SERGEANT BLUFF,"4,556"
MOUNT VERNON,"4,461"
CAMANCHE,"4,350"
POLK CITY,"4,313"
HAMPTON,"4,311"
JEFFERSON,"4,190"
CHARITON,"4,162"
DYERSVILLE,"4,134"
ADEL,"4,103"
FOREST CITY,"4,083"
CARLISLE,"4,069"
LE CLAIRE,"3,940"
MONTICELLO,"3,817"
CRESCO,"3,793"
EMMETSBURG,"3,783"
CARTER LAKE,"3,781"
ALBIA,"3,766"
WEST LIBERTY,"3,746"
WAUKON,"3,744"
SAYLORVILLE,"3,715"
ROCK VALLEY,"3,681"
OSAGE,"3,591"
HUXLEY,"3,575"
EAGLE GROVE,"3,452"
NEW HAMPTON,"3,448"
STORY CITY,"3,412"
ROBINS,"3,380"
TIPTON,"3,191"
WILLIAMSBURG,"3,146"
GARNER,"3,080"
MILFORD,"2,999"
WEST BURLINGTON,"2,967"
JESUP,"2,877"
ONAWA,"2,849"
WILTON,"2,815"
TAMA,"2,801"
CLARION,"2,791"
MARENGO,"2,770"
TIFFIN,"2,746"
GRUNDY CENTER,"2,706"
ELDORA,"2,677"
BELMOND,"2,669"
MISSOURI VALLEY,"2,661"
SIBLEY,"2,659"
WEST UNION,"2,629"
PARK VIEW,"2,627"
BLOOMFIELD,"2,626"
LAMONI,"2,611"
MADRID,"2,577"
HAWARDEN,"2,574"
ROCK RAPIDS,"2,559"
BELLE PLAINE,"2,546"
CENTER POINT,"2,521"
LA PORTE CITY,"2,496"
KALONA,"2,495"
POSTVILLE,"2,486"
SOLON,"2,485"
FAIRFAX,"2,473"
HUDSON,"2,472"
